Idy	Fecha de Respuesta	Nombre Tienda	Nota de Recomendación	Razón LTR	Nivel 1	Nivel 2	Nivel 3	archivo
98	18/6/2018	Tortugas	0	"Nunca hay vendedores disponibles para consultas ni ayuda.
La ropa estába toda revuelta, mezclada; era imosible encontrar lo que uno buscaba; de hecho de las 4 compras que tenía que hacer, sólo hice una por lo anteriormente mencionado."	Colaboradores	Atención 	Falta de personal en piso	detractores resto para compesandar
99	18/6/2018	Tortugas	5	No me gusta la excesiva espera en las cajas para pagar. Además las promociones son engañosas y no son realmente claras. Las promociones no son tan beneficiosas como anuncian en los comerciales.	Cajas	Demora	Tiempo de espera en fila	detractores resto para compesandar
100	18/6/2018	Florida 1 (Florida N°343)	6	Mucha demora en el sector de entrega del producto (electrodomesticos)	Cajas	Demora	Tiempo de espera en fila	detractores resto para compesandar
101	18/6/2018	Cordoba	1	no hay talles L y baja calidad	Productos	Disponibilidad	Falta de talles	detractores resto para compesandar
102	18/6/2018	Cordoba	6	Por la demora de entrega a domicilio	Servicios	Post Venta	Reclamo / Mala atención colaborador SAC	detractores resto para compesandar
103	18/6/2018	Mendoza	5	Desorden, ropa mezclada, se confundían las promociones	Tienda	Infraestructura	Falta de orden y limpieza en tienda	detractores resto para compesandar
104	18/6/2018	Cordoba	5	El personal estaba con el celular y no llamaba a la gente	Cajas	Cajeros	Falta amabilidad y actitud de servicio del cajero	detractores resto para compesandar
105	18/6/2018	Mendoza	4	Porque estaba muy desordenado todo ,los sectores con poco espacio y los precios bastante caros.	Tienda	Infraestructura	Falta de orden y limpieza en tienda	detractores resto para compesandar
106	18/6/2018	Unicenter	0	"En primer lugar, la vendedora ingreso mal el código de producto de quería adquirir. Luego, a la hora de abonarlo no se me hizo ningún comentario al respecto.
Acto seguido, cuando intente retirar el producto en la sección de electrodomésticos, el mismo no fue entregado. El tiempo de espera solo para esperar que me digan que no era el código de producto correspondiente fue de 45 minutos.
Luego, fueron 45 minutos más los que demoraron en solucionarme el problema y por supuesto, me cobraron la diferencia."	Colaboradores	Atención 	Falta amabilidad y actitud de servicio del cajero	detractores resto para compesandar
107	18/6/2018	Florida 1 (Florida N°343)	0	Quise comprar una olla, no había la variedad de ollas que esperaba en una tienda como Falabella. La olla que compre no venía con una envoltura correspondiente, ya que tenia una tapa de vidrio. Le solicite a la cajera que lo envuelve, después de pedírselo varias veces, la envolvió de muy mala gana.	Cajas	Cajeros	Falta amabilidad y actitud de servicio del cajero	detractores resto para compesandar
108	18/6/2018	Mendoza	4	Porque no entregan la mercadería en la fecha pactada y me ha pasado que compre un sillón y me mandaron uno roto y sucio una vergüenza	Despacho	Despacho	Home delirevy	detractores resto para compesandar
109	18/6/2018	Rosario	6	Por qué no me atendieron, tuve que yo ir a buscar a la vendedora para que me asesorará.	Colaboradores	Atención 	Falta amabilidad y actitud de servicio del colaborador	detractores resto para compesandar
110	18/6/2018	Mendoza	5	en la fecha en que concurrí 14 de junio no encontraba los productos, estaban desordenados, fuera de lugar y no había nadie que me atendiera mucho desorden. La cajera no tenia idea para asesorar con la compra	Tienda	Infraestructura	Falta de orden y limpieza en tienda	detractores resto para compesandar
111	18/6/2018	Unicenter	0	Si les preocupa llamenme, con todo gusto les daré mi opinión para que puedan mejorar. No me alcanzarían los caracteres...	Cliente	Cliente detractor, no brinda detalles	No brinda detalles	detractores resto para compesandar
112	18/6/2018	Rosario	5	Muy pocas cajas para el cambio y hay que esperar mucho para q te autoricen algún cambio (x la diferencia de precio)	Cajas	Demora	Tiempo de espera en fila	detractores resto para compesandar
113	18/6/2018	Unicenter	5	Xq quería comprar una campera cuando fuimos a caja tenía otro precio estaban llamando al supervisor xq el tenía que hacer el descuento correspondiente y nunca apareció así que me fuí sin poder comprar lo que deseaba para el día del padre	Precio y ofertas	Precios	Promoción engañosa / Inconveniente con promoción	detractores resto para compesandar
114	19/6/2018	Cordoba	5	Por los precios	Precio y ofertas	Precios	Insatisfacción con los precios	detractores resto para compesandar
115	19/6/2018	Cordoba	3	Mandaron un calzado incorrecto, con cueros de diferentes colores	Despacho	Retiro en tienda	C&C	detractores resto para compesandar
116	19/6/2018	Tortugas	6	El pago fué muy rápido pero la entrega del producto fue lenta, por temas internos entre empleados que no tienen por que afectar a los clientes.	Cajas	Demora	Tiempo de espera en transacción	detractores resto para compesandar
117	19/6/2018	Dot	6	No vi muchos empleados capacitados para ayudarme a encontrar lo que buscaba, tuve que recorrer varios pisos para encontrarlo y a los que le preguntaban estaban ocupados o no sabian	Colaboradores	Atención 	Falta de personal en piso	detractores resto para compesandar
118	19/6/2018	Avellaneda	2	no tienen talles para personas gordas como marca la reglamentacion	Productos	Disponibilidad	Falta de talles	detractores resto para compesandar
119	19/6/2018	Mendoza	6	Remodelacion	Tienda	Infraestructura	Falta de orden y limpieza en tienda	detractores resto para compesandar
120	19/6/2018	Florida 2 (Florida N°202)	4	Porque, si bien la gran mayoria de los chicos que estan en la parte de indumentaria de hombres te atienden bien, hay algunos que te miran raro porque estas buscando el talle en el stand donde ellos estan acomodando la ropa, y porque las cajeras no te dicen ni hola, ni chau, ni gracias..son descordiales siendo que estas dejando tu plata ahi	Cajas	Cajeros	Falta amabilidad y actitud de servicio del cajero	detractores resto para compesandar
121	19/6/2018	Avellaneda	5	Le falta implementar talles grandes en las prendas y no hay personal disponible para consutlar	Productos	Disponibilidad	Falta de talles	detractores resto para compesandar
122	19/6/2018	Cordoba	5	"Falta más atención pérsonalizada en la isla de cuidado personal la chica que atendía era desganada sin actitud
Al contrario en la parte de perfumes maquillaje y cuidados de la piel nos atendió otra chica con mucha aptitudes y desenvolvimiento simpática y muy amable me hizo sentir muy comodo"	Colaboradores	Atención 	Falta amabilidad y actitud de servicio del colaborador	detractores resto para compesandar
123	19/6/2018	Mendoza	5	Porque no me entregaron lo pedido	Despacho	Despacho	Home delirevy	detractores resto para compesandar
124	19/6/2018	Mendoza	5	Porqué cuándo fui a pagar tenía descuento con CMR MasterCard premium el 25 más el 5 por ciento de descuento y cuándo revise el ticket de compra se me había descontado sólo una parte el 30 y en la mayor compra el 25 por ciento.	Precio y ofertas	Precios	Promoción engañosa / Inconveniente con promoción	detractores resto para compesandar
125	19/6/2018	Rosario	5	No hay servicios	Cliente	Cliente detractor, no brinda detalles	No brinda detalles	detractores resto para compesandar
126	19/6/2018	Unicenter	6	tienen que standarizar los talles o agregar medidas para saber talle exacto	Productos	Disponibilidad	Falta de talles	detractores resto para compesandar
127	19/6/2018	Rosario	5	Últimamente no hay mucha variedad y los precios no son accesibles. Sara, que desembarcó en Rosario tiene la misma calidad, mayor variedad y mejores precios.	Productos	Disponibilidad	Falta variedad/ Baja calidad	detractores resto para compesandar
128	19/6/2018	Unicenter	0	Compré un producto, lo aboné con tarjeta y cuando fui a retirarlo a la tienda me dicen que no hay más stock, ni siquiera me enviaron mail informandome. Todavía no me reintegraron el importe abonado a la tarjeta, espero no tener problemas con eso también.	Despacho	Retiro en tienda	C&C	detractores resto para compesandar
129	19/6/2018	Avellaneda	6	Xq se olvidaron de sacar la alarma de la bota y sonó la alarma cuando salí	Cajas	Alarma	Producto con alarma	detractores resto para compesandar
130	19/6/2018	Mendoza	5	Caro e incómodo	Precio y ofertas	Precios	Insatisfacción con los precios	detractores resto para compesandar
131	19/6/2018	Mendoza	0	Realize una compra en el hot sale me confirmaron la compra y unos dias antes de que llegara me enviaron un mail diciendo que no estaban disponibles los productos. Yo perdi ofertas de otras tiendas por confiar en Falabella	Despacho	Retiro en tienda	C&C	detractores resto para compesandar
132	19/6/2018	Cordoba	5	"porque la tienda es regular, no se encuentran todos los productos, los productos estan en mal estado el cambio de los productos es un incordio piden ticket de compra dni , firmas, etiquetas, mas cosas q en ningun otro lugar.
al hacer una consulta con un vendedor nunca es el del sector.... todo lleva tiempo en falabella"	Productos	Disponibilidad	Falta variedad/ Baja calidad	detractores resto para compesandar
133	19/6/2018	Tortugas	5	Nunca encuentro personal para que me atienda	Colaboradores	Atención 	Falta de personal en piso	detractores resto para compesandar
134	19/6/2018	Rosario	5	Muy lenta la atención y sin asesoramiento	Colaboradores	Atención 	Falta amabilidad y actitud de servicio del colaborador	detractores resto para compesandar
135	19/6/2018	Florida 2 (Florida N°202)	6	Compre un par de guantes que obtuve en la línea de cajas. Fui a pagas la tarjeta CMR y mientras hacía la fila, agarré los guantes.	Cliente	Cliente detractor, no brinda detalles	No brinda detalles	detractores resto para compesandar
136	19/6/2018	Mendoza	3	Porque no fueron amables, pero sobretodo, me cobraron de más. Una mochila que costaba 1490, me la cobraron 1600. De ésto me dí cuenta tarde y estaba de paso, por lo que no pude hacer el reclamo.	Cajas	Cajeros	Falta amabilidad y actitud de servicio del cajero	detractores resto para compesandar
137	19/6/2018	Mendoza	0	En zona perdumes de dama la atención fue muy mala. Las vendedoras no mostraban interes en el cliente.	Colaboradores	Atención 	Falta amabilidad y actitud de servicio del colaborador	detractores resto para compesandar
138	19/6/2018	Tortugas	4	No cumplieron con la fecha de retiro en tienda	Despacho	Retiro en tienda	C&C	detractores resto para compesandar
139	19/6/2018	Avellaneda	6	Poque ya no es la misma de un principio , no tiene surtido, el personal poco preparado y hay pocas cajas habilitadas para pagar, ademas los precios estan muy elevados	Productos	Disponibilidad	Falta variedad/ Baja calidad	detractores resto para compesandar
140	19/6/2018	Tortugas	6	No soy de recomendar	Cliente	Cliente detractor, no brinda detalles	No brinda detalles	detractores resto para compesandar
141	19/6/2018	Florida 2 (Florida N°202)	6	Es difícil conseguir personal que asesore.	Colaboradores	Atención 	Falta de personal en piso	detractores resto para compesandar
142	19/6/2018	Cordoba	4	muy desorganizada, no se entendian los precios, promociones.. no se encontraba la ropa, en los percheros habia tanta ropa que ni se podia ver, no se encontraban los canasto para poner la ropa asi que habia que cargar con todo	Tienda	Infraestructura	Falta de orden y limpieza en tienda	detractores resto para compesandar
143	19/6/2018	Mendoza	5	No hago ese tipo de recomendaciones	Cliente	Cliente detractor, no brinda detalles	No brinda detalles	detractores resto para compesandar
144	19/6/2018	Unicenter	6	Falta atención personal	Colaboradores	Atención 	Falta de personal en piso	detractores resto para compesandar
145	19/6/2018	Dot	0	considero falta de respeto al cliente que esta en el probador y le apagan las luces, asi como cuando se esta abonando en la caja hay que salir con las luces del celular buscando la salida.	Colaboradores	Atención 	Falta amabilidad y actitud de servicio del colaborador	detractores resto para compesandar
146	20/6/2018	Tortugas	1	Compre un labial de Burts Bees y cuando lo abri la barrita estaba toda aplastada en la tapa.	Productos	Disponibilidad	Mal estado del producto	detractores resto para compesandar
147	20/6/2018	Dot	4	Porque no cumplieron con los plazos prometidos y no nos avisaron los cambios	Servicios	Post Venta	Reclamo / Mala atención colaborador SAC	detractores resto para compesandar
148	20/6/2018	Mendoza	6	Todo muy desorganizado y los chicos que están en el sector no ayudan de buena forma .	Colaboradores	Atención 	Falta amabilidad y actitud de servicio del colaborador	detractores resto para compesandar
149	20/6/2018	Unicenter	5	Me parece absolutamente invasivo y violatorio a mi privacidad, que sin autorizacion me envien un correo con los datos exactos de donde estuve y qué hice. Como profesional del derecho estudiaré las posibles denuncias a realizar por actos realizados sin mi consentimiento.	Otros	Otros	Otros	detractores resto para compesandar
